name,sR,sG,sB,Y,x,y
R,1.0,0.0,0.0,20.2,0.6448,0.3312
G,0.0,1.0,0.0,72.3,0.3199,0.6228
B,0.0,0.0,1.0,6.8,0.1532,0.0519
W,1.0,1.0,1.0,102.4,0.3131,0.3236
semiR,0.5,0.0,0.0,5.1,0.6223,0.3263
semiG,0.0,0.5,0.0,17.5,0.3172,0.6149
semiB,0.0,0.0,0.5,1.9,0.1538,0.0567
Gray,0.5,0.5,0.5,25.8,0.3098,0.3179
