name,sR,sG,sB,Y,x,y
R,1.0,0.0,0.0,23.6,0.6448,0.3312
G,0.0,1.0,0.0,90.4,0.3180,0.6240
B,0.0,0.0,1.0,6.3,0.1525,0.0518
W,1.0,1.0,1.0,122.2,0.3275,0.3525
semiR,0.5,0.0,0.0,5.0,0.6247,0.3279
semiG,0.0,0.5,0.0,17.7,0.3158,0.6135
semiB,0.0,0.0,0.5,1.5,0.1553,0.0578
Gray,0.5,0.5,0.5,26.9,0.3270,0.3514
