name,sR,sG,sB,Y,x,y
R,1.0,0.0,0.0,19.90,0.6448,0.3320
G,0.0,1.0,0.0,71.80,0.3191,0.6231
B,0.0,0.0,1.0,6.97,0.1525,0.0527
W,1.0,1.0,1.0,101.4,0.3130,0.3222
semiR,0.5,0.0,0.0,4.8,0.6284,0.3214
semiG,0.0,0.5,0.0,17.2,0.3181,0.6094
semiB,0.0,0.0,0.5,1.9,0.1540,0.0567
Gray,0.5,0.5,0.5,25.3,0.3084,0.3169
