ID,Session_Type,Ref_Contrast,Orientation,DP_Monocular_Corrected_Log10_AR,DP_Monocular_Corrected_AR_Contrast,DP_Binocular_Corrected_Log10_AR,DP_Binocular_Corrected_AR_Contrast,Dominance,Spatial_Freq_cpd,Dominant_Eye,Dominant_PD_Mean_mm,Dominant_PD_SD_mm,Dominant_Trial_Count,Non_Dominant_Eye,Non_Dominant_PD_Mean_mm,Non_Dominant_PD_SD_mm,Non_Dominant_Trial_Count,Session_Timestamp,Session_Dir,Source_CSV,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,DP_Monocular_to_Binocular_Ratio,DP_Monocular_Minus_Binocular_AR,Participant_Aggregation
10,experiment,0.1,0.0,-0.9655251572163062,0.10826170009551098,-0.9049841348857045,0.12445600756859035,Right,4.0,Right,3.46,0.17126976771553604,10,Left,4.199999999999999,0.27888667551135776,10,20260915_134206,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\10_20260915_134206,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\10_20260915_134206\defocus_matching.csv,-0.7399999999999993,-0.06054102233060166,0.8698792626450407,-0.016194307473079372,median_of_log10_trials
11,experiment,0.1,0.0,-0.9753382206451139,0.10584291187739463,-0.9924686930835905,0.10174927113702625,Left,4.0,Left,3.6199999999999997,0.2529822128134706,10,Right,4.369999999999999,0.23118054512532857,10,20260916_112833,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\11_20260916_112833,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\11_20260916_112833\defocus_matching.csv,-0.7499999999999996,0.01713047243847665,1.04023262962597,0.004093640740368373,median_of_log10_trials
12,experiment,0.1,0.0,-1.0560944257421163,0.08788314176245213,-0.9132279813705186,0.1221158449018669,Right,4.0,Right,3.0199999999999996,0.21499353995462842,10,Left,2.919999999999999,0.2201009869229227,10,20260917_133509,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\12_20260917_133509,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\12_20260917_133509\defocus_matching.csv,0.10000000000000053,-0.14286644437159768,0.7196702592777833,-0.034232703139414775,median_of_log10_trials
0,experiment,0.2,0.0,-0.7321583880787957,0.1852855759922556,-0.7535547811329183,0.17637832699619774,Right,4.0,Right,2.61,0.3754996671103719,10,Left,2.549999999999999,0.21213203435596437,10,20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\0_20260824_162125\defocus_matching.csv,0.06000000000000094,0.021396393054122553,1.0505008134942218,0.008907248996057854,median_of_log10_trials
1,experiment,0.2,0.0,-0.7085046299425771,0.1956569909151341,-0.7009970534390885,0.1990686845168801,Right,4.0,Right,3.249999999999999,0.20682789409984786,10,Left,2.729999999999999,0.23118054512533007,10,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\defocus_matching.csv,0.52,-0.0075075765034886555,0.9828617262929836,-0.00341169360174598,median_of_log10_trials
2,experiment,0.2,0.0,-0.6755254321017216,0.21109335768089477,-0.6997280300547857,0.19965122072745395,Left,4.0,Left,1.8400000000000005,0.30258148581093935,10,Right,2.120000000000001,0.26583202716502535,10,20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\defocus_matching.csv,-0.28000000000000047,0.02420259795306412,1.0573106285639025,0.011442136953440818,median_of_log10_trials
3,experiment,0.2,0.0,-0.7090442971322903,0.19541401273885353,-0.7867431222825514,0.16340181557572864,Left,4.0,Left,3.1999999999999993,0.33333333333333387,10,Right,3.4099999999999993,0.1449137674618947,10,20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234\defocus_matching.csv,-0.20999999999999996,0.07769882515026105,1.195910902521697,0.032012197163124895,median_of_log10_trials
4,experiment,0.2,0.0,-0.6743966950993114,0.21164270563280702,-0.7704654004212733,0.16964247484478698,Right,4.0,Right,3.65,0.36285901761795447,10,Left,4.12,0.32249030993194094,10,20260818_132449,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\4_20260818_132449,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\4_20260818_132449\defocus_matching.csv,-0.4700000000000002,0.09606870532196188,1.2475808657380636,0.04200023078802004,median_of_log10_trials
5,experiment,0.2,0.0,-0.5048837124076089,0.31269165247018743,-0.5354118272342729,0.29146618247843853,Right,4.0,Right,1.1399999999999992,0.2503331114069141,10,Left,2.3499999999999988,0.3274480450731423,10,20260818_160423,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\5_20260818_160423,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\5_20260818_160423\defocus_matching.csv,-1.2099999999999995,0.030528114826664066,1.0728230967011723,0.021225469991748902,median_of_log10_trials
6,experiment,0.2,0.0,-0.7074528150698196,0.19613142554319024,-0.7168462937599657,0.19193479193479202,Right,4.0,Right,2.2499999999999996,0.3308238873546545,10,Left,2.9299999999999993,0.48773854562551117,10,20260821_162308,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\6_20260821_162308,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\6_20260821_162308\defocus_matching.csv,-0.6799999999999997,0.009393478690146062,1.0218648925819764,0.004196633608398226,median_of_log10_trials
7,experiment,0.2,0.0,-0.5369693859545143,0.2904227370432291,-0.4681284319791443,0.34030753718174955,Right,4.0,Right,1.8599999999999983,0.2118699810942761,10,Left,1.3799999999999986,0.18737959096740286,10,20260907_133506,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\7_20260907_133506,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\7_20260907_133506\defocus_matching.csv,0.47999999999999976,-0.06884095397536999,0.8534125910003626,-0.04988480013852048,median_of_log10_trials
8,experiment,0.2,0.0,-0.6425289261004464,0.22775665399239547,-0.7418928435154126,0.1811787072243346,Right,4.0,Right,1.479999999999999,0.27808871486152403,10,Left,1.8499999999999979,0.24152294576982425,10,20260908_142528,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\8_20260908_142528,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\8_20260908_142528\defocus_matching.csv,-0.3699999999999988,0.0993639174149662,1.2570828961175238,0.046577946768060874,median_of_log10_trials
9,experiment,0.2,0.0,-0.7305149006542367,0.18598807495741057,-0.6580244387292736,0.2197736197736198,Right,4.0,Right,1.709999999999998,0.25144029554194836,10,Left,2.3299999999999987,0.21628170930011126,10,20260909_132329,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\9_20260909_132329,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\9_20260909_132329\defocus_matching.csv,-0.6200000000000008,-0.07249046192496311,0.8462711546044043,-0.03378554481620924,median_of_log10_trials
10,experiment,0.2,0.0,-0.64682144285367,0.2255166217430369,-0.6903808063958325,0.20399484536082474,Right,4.0,Right,3.46,0.17126976771553604,10,Left,4.199999999999999,0.27888667551135776,10,20260915_134206,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\10_20260915_134206,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\10_20260915_134206\defocus_matching.csv,-0.7399999999999993,0.0435593635421625,1.105501569631059,0.02152177638221217,median_of_log10_trials
11,experiment,0.2,0.0,-0.7224206141804957,0.18948698508971448,-0.7455973889920438,0.179639819909955,Left,4.0,Left,3.6199999999999997,0.2529822128134706,10,Right,4.369999999999999,0.23118054512532857,10,20260916_112833,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\11_20260916_112833,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\11_20260916_112833\defocus_matching.csv,-0.7499999999999996,0.023176774811548007,1.0548161603852386,0.009847165179759476,median_of_log10_trials
12,experiment,0.2,0.0,-0.7216733121832182,0.18981332104171467,-0.7467479312830636,0.17916454406520632,Right,4.0,Right,3.0199999999999996,0.21499353995462842,10,Left,2.919999999999999,0.2201009869229227,10,20260917_133509,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\12_20260917_133509,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\12_20260917_133509\defocus_matching.csv,0.10000000000000053,0.02507461909984543,1.0594357384273128,0.010648776976508345,median_of_log10_trials
