Session_Type,Ref_Contrast,Orientation,X_Variable,Y_Variable,n_total_participants,n_complete_participants,n_excluded_participants,pearson_r,pearson_p_value_two_sided,pearson_ci95_lower,pearson_ci95_upper,holm_adjusted_pearson_p_value,significant_holm_alpha_0_05,spearman_rho,spearman_p_value_two_sided,Correlation_Status
experiment,0.1,0.0,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,13,13,0,-0.2646645199193702,0.3822025651510627,-0.7118442386211705,0.335202042469041,0.7111697594043203,False,-0.12087912087912088,0.6940473279966857,ok
experiment,0.2,0.0,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,13,13,0,-0.27920398620747605,0.35558487970216013,-0.7195029087040153,0.3211927369045435,0.7111697594043203,False,-0.25274725274725274,0.40477407127094633,ok
