Hypothesis,Session_Type,Ref_Contrast,Orientation,Ocularity,n_participants,Analysis_Scale,Participant_Aggregation,mean_sp_log10_offset_from_reference,mean_dpf_log10_offset_from_reference,geometric_mean_sp_ratio_to_reference,geometric_mean_dpf_ratio_to_reference,pearson_r,p_value_two_sided,holm_adjusted_p_value,significant_holm_alpha_0_05
H3,experiment,0.1,0,binocular,1,log10_AR_Matched_Contrast,median_of_log10_trials,0.35372393758894904,0.15715443990628153,2.258,1.436,,,,False
H3,experiment,0.1,0,monocular,1,log10_AR_Matched_Contrast,median_of_log10_trials,0.5065726742525134,0.34684176964225133,3.2104999999999997,2.2225,,,,False
H3,experiment,0.2,0,binocular,1,log10_AR_Matched_Contrast,median_of_log10_trials,0.058710652199734814,0.06651227785659541,1.1447499999999997,1.1654999999999998,,,,False
H3,experiment,0.2,0,monocular,1,log10_AR_Matched_Contrast,median_of_log10_trials,0.3878345723908106,0.2757719001649313,2.4424999999999994,1.8869999999999998,,,,False
