Hypothesis,Session_Type,Ref_Contrast,Orientation,Ocularity,n_participants,mean_sp_offset_from_reference,mean_dpf_offset_from_reference,pearson_r,p_value_two_sided,holm_adjusted_p_value,significant_holm_alpha_0_05
H3,training,0.2,0,binocular,0,,,,,,False
H3,training,0.2,0,monocular,0,,,,,,False
