bg,fg,Y,x,y
0,0,0.3,0.2840,0.2527
0,5,5.4,0.2809,0.2946
0,10,10.3,0.2756,0.2839
0,15,15.5,0.2775,0.2875
0,20,20.5,0.2779,0.2846
0,25,25.6,0.2770,0.2858
0,30,30.8,0.2775,0.2855
15,0,15.2,0.2823,0.2961
15,5,20.4,0.2832,0.2967
15,10,25.3,0.2804,0.2917
15,15,30.5,0.2800,0.2922
15,20,35.4,0.2799,0.2900
15,25,40.6,0.2786,0.2904
15,30,45.7,0.2790,0.2893
30,0,30.4,0.2808,0.2917
30,5,35.5,0.2806,0.2927
30,10,40.4,0.2800,0.2898
30,15,45.6,0.2800,0.2903
30,20,50.6,0.2793,0.2888
30,25,55.8,0.2788,0.2892
30,30,60.9,0.2795,0.2885
