bg,fg,Y,x,y
0,0,0.3,0.2070,0.1199
0,10,10.3,0.2734,0.2777
0,15,15.8,0.2794,0.2869
0,20,20.7,0.2792,0.2870
0,30,31.3,0.2824,0.2942
10,0,10.1,0.2815,0.2899
10,10,20.0,0.2805,0.2896
10,15,25.3,0.2828,0.2927
10,20,30.3,0.2823,0.2921
10,30,40.7,0.2835,0.2967
15,0,15.1,0.2779,0.2893
15,10,25.0,0.2804,0.2891
15,15,30.4,0.2821,0.2916
15,20,35.3,0.2820,0.2910
15,30,45.7,0.2833,0.2953
20,0,19.8,0.2787,0.2860
20,10,29.7,0.2791,0.2875
20,15,35.1,0.2799,0.2898
20,20,40.1,0.2805,0.2894
20,30,50.6,0.2821,0.2935
30,0,29.3,0.2777,0.2858
30,10,39.3,0.2785,0.2872
30,15,44.7,0.2791,0.2892
30,20,49.8,0.2793,0.2893
30,30,60.3,0.2811,0.2928
