bg,fg,Y,x,y
0,0,0.2,0.2029,0.2547
0,5,5.3,0.2815,0.2955
0,10,10.0,0.2752,0.2837
0,15,15.1,0.2778,0.2871
0,20,19.9,0.2778,0.2844
0,25,25.0,0.2774,0.2862
0,30,30.0,0.2776,0.2860
15,0,15.5,0.2846,0.2982
15,5,20.6,0.2833,0.2985
15,10,25.3,0.2812,0.2934
15,15,30.4,0.2809,0.2937
15,20,35.2,0.2807,0.2908
15,25,40.3,0.2799,0.2915
15,30,45.3,0.2803,0.2904
30,0,31.0,0.2823,0.2935
30,5,36.0,0.2824,0.2943
30,10,40.8,0.2811,0.2917
30,15,45.9,0.2807,0.2917
30,20,50.7,0.2803,0.2904
30,25,55.8,0.2798,0.2907
30,30,60.8,0.2799,0.2900
