bg,fg,Y,x,y
0,0,0.3,0.1529,0.1429
0,10,10.1,0.2867,0.3105
0,15,15.4,0.2906,0.3197
0,20,21.6,0.2940,0.3195
0,30,31.8,0.2899,0.3144
10,0,10.5,0.2785,0.2923
10,10,20.3,0.2861,0.3050
10,15,25.6,0.2897,0.3119
10,20,31.8,0.2912,0.3136
10,30,42.0,0.2899,0.3111
15,0,15.2,0.2793,0.2907
15,10,25.0,0.2848,0.3026
15,15,30.3,0.2877,0.3081
15,20,36.6,0.2892,0.3106
15,30,46.7,0.2873,0.3093
20,0,20.2,0.2777,0.2863
20,10,30.0,0.2829,0.2973
20,15,35.2,0.2854,0.3024
20,20,41.5,0.2873,0.3053
20,30,51.7,0.2865,0.3052
30,0,30.1,0.2786,0.2918
30,10,39.9,0.2832,0.2983
30,15,45.2,0.2848,0.3028
30,20,51.5,0.2860,0.3051
30,30,61.6,0.2857,0.3048
