Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-06-18 17:02:48,70,244,21.0,2.2,100.0,0.0
2026-06-18 17:02:48,60,229,19.0,2.2,100.0,0.0
2026-06-18 17:02:48,50,211,16.0,2.2,100.0,0.0
2026-06-18 17:02:48,40,191,13.0,2.2,100.0,0.0
2026-06-18 17:02:48,30,168,10.0,2.2,100.0,0.0
2026-06-18 17:02:48,20,141,7.0,2.2,100.0,0.0
2026-06-18 17:02:48,15,125,6.0,2.2,100.0,0.0
2026-06-18 17:02:48,10,104,4.0,2.2,100.0,0.0
2026-06-18 17:02:48,7,85,2.0,2.2,100.0,0.0
2026-06-18 17:02:48,5,71,1.0,2.2,100.0,0.0
2026-06-18 17:02:48,2,43,-0.0,2.2,100.0,0.0
2026-06-18 17:02:48,0,0,-0.0,2.2,100.0,0.0
