Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-03-09 13:14:06,100,251,-3.0,2.2,100.0,0.0
2026-03-09 13:14:06,90,239,-3.0,2.2,100.0,0.0
2026-03-09 13:14:06,80,224,-5.0,2.2,100.0,0.0
2026-03-09 13:14:06,70,210,-5.0,2.2,100.0,0.0
2026-03-09 13:14:06,60,194,-5.0,2.2,100.0,0.0
2026-03-09 13:14:06,50,179,-4.0,2.2,100.0,0.0
2026-03-09 13:14:06,40,160,-4.0,2.2,100.0,0.0
2026-03-09 13:14:06,30,138,-4.0,2.2,100.0,0.0
2026-03-09 13:14:06,20,117,-2.0,2.2,100.0,0.0
2026-03-09 13:14:06,10,85,-1.0,2.2,100.0,0.0
2026-03-09 13:14:06,0,0,-0.0,2.2,100.0,0.0
