Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-06-19 15:43:12,70,244,1.0,2.2,78.0,0.0
2026-06-19 15:43:12,60,226,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,50,208,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,40,188,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,30,165,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,20,134,-1.0,2.2,78.0,0.0
2026-06-19 15:43:12,15,121,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,10,100,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,7,79,-1.0,2.2,78.0,0.0
2026-06-19 15:43:12,5,73,-0.0,2.2,78.0,0.0
2026-06-19 15:43:12,2,58,1.0,2.2,78.0,0.0
2026-06-19 15:43:12,0,0,-0.0,2.2,78.0,0.0
