ID,Age,Gender,IPD(mm),Distance1(cm),Distance2(cm),Offset_X,Offset_Y,Trial_ID,Image_Win1,Image_Win2,Score
0,23,Male,60,50,100,-199,-201,1,2cpd_15nit_1.0.png,4cpd_50nit_1.0_v.png,4
0,23,Male,60,50,100,-199,-201,2,4cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,2
0,23,Male,60,50,100,-199,-201,3,8cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,4,16cpd_15nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,5,4cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,6,2cpd_15nit_1.0.png,2cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,7,16cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,8,16cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,2
0,23,Male,60,50,100,-199,-201,9,8cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,2
0,23,Male,60,50,100,-199,-201,10,16cpd_5nit_1.0.png,2cpd_50nit_0.6_v.png,5
0,23,Male,60,50,100,-199,-201,11,4cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,12,16cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,2
0,23,Male,60,50,100,-199,-201,13,16cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,14,16cpd_5nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,15,2cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,16,16cpd_15nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,17,4cpd_5nit_1.0.png,4cpd_5nit_1.0_v.png,2
0,23,Male,60,50,100,-199,-201,18,2cpd_5nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,19,4cpd_15nit_1.0.png,4cpd_50nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,20,2cpd_5nit_1.0.png,2cpd_5nit_1.0_v.png,1
0,23,Male,60,50,100,-199,-201,21,4cpd_15nit_1.0.png,2cpd_50nit_0.2_v.png,2
0,23,Male,60,50,100,-199,-201,22,8cpd_15nit_1.0.png,2cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,23,16cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,24,16cpd_5nit_1.0.png,2cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,25,16cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,26,16cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,27,4cpd_15nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,28,2cpd_15nit_1.0.png,4cpd_50nit_1.0_v.png,4
0,23,Male,60,50,100,-199,-201,29,4cpd_5nit_1.0.png,2cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,30,8cpd_15nit_1.0.png,2cpd_50nit_1.0_v.png,4
0,23,Male,60,50,100,-199,-201,31,2cpd_15nit_1.0.png,2cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,32,2cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,33,4cpd_5nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,34,8cpd_15nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,35,8cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,36,2cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,37,16cpd_15nit_1.0.png,2cpd_50nit_1.0_v.png,4
0,23,Male,60,50,100,-199,-201,38,4cpd_5nit_1.0.png,4cpd_5nit_1.0_v.png,2
0,23,Male,60,50,100,-199,-201,39,2cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,2
0,23,Male,60,50,100,-199,-201,40,8cpd_5nit_1.0.png,4cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,41,16cpd_5nit_1.0.png,4cpd_5nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,42,8cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,2
0,23,Male,60,50,100,-199,-201,43,4cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,1
0,23,Male,60,50,100,-199,-201,44,4cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,45,16cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,46,16cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,3
0,23,Male,60,50,100,-199,-201,47,16cpd_15nit_1.0.png,4cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,48,16cpd_15nit_1.0.png,2cpd_5nit_1.0_v.png,3
0,23,Male,60,50,100,-199,-201,49,4cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,50,2cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,51,4cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,2
0,23,Male,60,50,100,-199,-201,52,4cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,5
0,23,Male,60,50,100,-199,-201,53,16cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,2
0,23,Male,60,50,100,-199,-201,54,2cpd_5nit_1.0.png,2cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,55,8cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,56,16cpd_5nit_1.0.png,2cpd_50nit_0.6_v.png,5
0,23,Male,60,50,100,-199,-201,57,8cpd_15nit_1.0.png,2cpd_50nit_1.0_v.png,4
0,23,Male,60,50,100,-199,-201,58,2cpd_15nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,59,8cpd_5nit_1.0.png,4cpd_5nit_1.0_v.png,3
0,23,Male,60,50,100,-199,-201,60,8cpd_15nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,100,-199,-201,61,8cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,62,8cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,2
0,23,Male,60,50,100,-199,-201,63,4cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,64,16cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,65,8cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,66,4cpd_5nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,67,8cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,5
0,23,Male,60,50,100,-199,-201,68,16cpd_5nit_1.0.png,4cpd_5nit_1.0_v.png,3
0,23,Male,60,50,100,-199,-201,69,2cpd_5nit_1.0.png,4cpd_5nit_0.6_v.png,2
0,23,Male,60,50,100,-199,-201,70,8cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,71,8cpd_5nit_1.0.png,2cpd_50nit_0.6_v.png,5
0,23,Male,60,50,100,-199,-201,72,8cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,73,4cpd_15nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,74,4cpd_15nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,75,4cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,1
0,23,Male,60,50,100,-199,-201,76,8cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,77,2cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,78,4cpd_15nit_1.0.png,2cpd_50nit_1.0_v.png,4
0,23,Male,60,50,100,-199,-201,79,2cpd_5nit_1.0.png,2cpd_5nit_1.0_v.png,1
0,23,Male,60,50,100,-199,-201,80,4cpd_5nit_1.0.png,4cpd_50nit_0.6_v.png,5
0,23,Male,60,50,100,-199,-201,81,8cpd_15nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,82,8cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,3
0,23,Male,60,50,100,-199,-201,83,2cpd_5nit_1.0.png,2cpd_5nit_0.6_v.png,1
0,23,Male,60,50,100,-199,-201,84,16cpd_5nit_1.0.png,4cpd_50nit_0.6_v.png,4
0,23,Male,60,50,100,-199,-201,85,16cpd_5nit_1.0.png,2cpd_50nit_1.0_v.png,5
0,23,Male,60,50,100,-199,-201,86,8cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,87,4cpd_5nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,100,-199,-201,88,16cpd_15nit_1.0.png,4cpd_5nit_0.2_v.png,2
0,23,Male,60,50,100,-199,-201,89,2cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,2
0,23,Male,60,50,100,-199,-201,90,2cpd_15nit_1.0.png,2cpd_50nit_0.6_v.png,3
