Session_Type,Ref_Contrast,Orientation,X_Variable,Y_Variable,n_total_participants,n_complete_participants,n_excluded_participants,pearson_r,pearson_p_value_two_sided,pearson_ci95_lower,pearson_ci95_upper,holm_adjusted_pearson_p_value,significant_holm_alpha_0_05,spearman_rho,spearman_p_value_two_sided,Correlation_Status
experiment,0.1,0.0,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,8,8,0,-0.6505177555604595,0.0806969637762207,-0.9292296979891191,0.09999150302321468,0.1613939275524414,False,-0.5714285714285715,0.13895995716070672,ok
experiment,0.2,0.0,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,8,8,0,-0.15357967534781458,0.7165341185333243,-0.7744400390163465,0.6179723459269196,0.7165341185333243,False,-0.2380952380952381,0.5701563208157683,ok
