ID,Session_Type,Ref_Contrast,Orientation,Ocularity,Condition,Trial_Count,Mean_Log10_AR,Geometric_Mean_AR,Participant_Aggregation,Session_Timestamp,Session_Dir,Source_CSV
1,experiment,0.1,0.0,binocular,Dual plane,5,-0.8757134321374949,0.1331332603888123,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,binocular,Dual plane flat,5,-1.0126938635791642,0.09711943259039366,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,binocular,Single plane,5,-0.5036779801202885,0.31356098488324957,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,binocular,Single plane + defocus simulation,5,-0.8511245865018171,0.14088845722873125,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,monocular,Dual plane,5,-0.9051095593042486,0.12442006981393423,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,monocular,Dual plane flat,5,-0.9681382643200032,0.10761225589398613,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,monocular,Single plane,5,-0.46959907265047135,0.3391571111076352,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,monocular,Single plane + defocus simulation,5,-0.8853751947030586,0.13020414357386972,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.2,0.0,binocular,Dual plane,5,-0.661339425859285,0.21810246506338435,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.2,0.0,binocular,Dual plane flat,5,-0.6650837548845022,0.21623014777309696,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.2,0.0,binocular,Single plane,5,-0.36859613212201986,0.4279606789814629,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.2,0.0,binocular,Single plane + defocus simulation,5,-0.6388080489041681,0.22971637327696565,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.2,0.0,monocular,Dual plane,5,-0.6645915415005639,0.2164753539930118,mean_of_log10_trials,20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
