ID,Session_Type,Ref_Contrast,Orientation,Ocularity,Condition,Trial_Count,Mean_Log10_AR,Geometric_Mean_AR,Original_Log10_AR,Original_AR_Contrast,Reference_Log10,DPF_Trial_Count,DPF_Log10_AR,DPF_Geometric_Mean_AR,DPF_Bias_Log10,DPF_Bias_Ratio,Corrected_Log10_AR,Corrected_AR_Contrast,Corrected_Log10_Offset_From_Ref,Corrected_Ratio_To_Ref,Participant_Aggregation,Bias_Correction_Method,Session_Timestamp,Session_Dir,Source_CSV
1,experiment,0.1,0.0,binocular,Single plane + defocus simulation,5,-0.8511245865018171,0.14088845722873125,-0.8511245865018171,0.14088845722873125,-1.0,5,-1.0126938635791642,0.09711943259039366,-0.012693863579164244,0.9711943259039365,-0.8384307229226529,0.14506721618003657,0.16156927707734714,1.4506721618003657,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
1,experiment,0.1,0.0,binocular,Dual plane,5,-0.8757134321374949,0.1331332603888123,-0.8757134321374949,0.1331332603888123,-1.0,5,-1.0126938635791642,0.09711943259039366,-0.012693863579164244,0.9711943259039365,-0.8630195685583306,0.13708199979947253,0.13698043144166938,1.3708199979947253,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\1_20260825_104420\contrast_matching.csv
2,experiment,0.1,0.0,monocular,Single plane,5,-0.6459812336843098,0.225953340489705,-0.6459812336843098,0.225953340489705,-1.0,5,-0.9945175897772011,0.10127037314991141,0.005482410222798939,1.012703731499114,-0.6514636439071088,0.22311889791817424,0.34853635609289124,2.2311889791817427,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\contrast_matching.csv
2,experiment,0.1,0.0,monocular,Single plane + defocus simulation,5,-0.784097454376245,0.16440027725405013,-0.784097454376245,0.16440027725405013,-1.0,5,-0.9945175897772011,0.10127037314991141,0.005482410222798939,1.012703731499114,-0.789579864599044,0.16233797915475928,0.21042013540095605,1.6233797915475927,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\contrast_matching.csv
2,experiment,0.1,0.0,monocular,Dual plane,5,-0.8597524166324719,0.13811714208599826,-0.8597524166324719,0.13811714208599826,-1.0,5,-0.9945175897772011,0.10127037314991141,0.005482410222798939,1.012703731499114,-0.8652348268552709,0.136384549389921,0.13476517314472913,1.3638454938992104,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\contrast_matching.csv
2,experiment,0.1,0.0,binocular,Single plane,5,-0.6708868090624808,0.21336009248619642,-0.6708868090624808,0.21336009248619642,-1.0,5,-0.9640604976368726,0.10862742940286002,0.035939502363127374,1.0862742940286,-0.7068263114256081,0.1964145645893181,0.29317368857439186,1.964145645893181,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\contrast_matching.csv
2,experiment,0.1,0.0,binocular,Single plane + defocus simulation,5,-0.7654664014741283,0.17160644656786309,-0.7654664014741283,0.17160644656786309,-1.0,5,-0.9640604976368726,0.10862742940286002,0.035939502363127374,1.0862742940286,-0.8014059038372556,0.15797708507989872,0.19859409616274437,1.5797708507989872,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\contrast_matching.csv
2,experiment,0.1,0.0,binocular,Dual plane,5,-0.9252780678502394,0.11877415028702885,-0.9252780678502394,0.11877415028702885,-1.0,5,-0.9640604976368726,0.10862742940286002,0.035939502363127374,1.0862742940286,-0.9612175702133667,0.109340845990692,0.038782429786633266,1.09340845990692,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\2_20260730_150655\contrast_matching.csv
3,experiment,0.1,0.0,monocular,Single plane,5,-0.558836681279465,0.2761616181241382,-0.558836681279465,0.2761616181241382,-1.0,5,-0.9363862608362261,0.11577471995559417,0.06361373916377389,1.1577471995559416,-0.6224504204432388,0.23853360926293843,0.37754957955676116,2.3853360926293843,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234\contrast_matching.csv
3,experiment,0.1,0.0,monocular,Single plane + defocus simulation,5,-0.8722770710616313,0.1341908577562586,-0.8722770710616313,0.1341908577562586,-1.0,5,-0.9363862608362261,0.11577471995559417,0.06361373916377389,1.1577471995559416,-0.9358908102254052,0.1159068731133429,0.06410918977459479,1.159068731133429,mean_of_log10_trials,z_corrected = z_condition - z_DPF + log10(Ref),20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234,C:\Users\Hamada.MSI\Desktop\Hamada\lab\results\tables\main-experiment-matching\experiment\3_20260730_164234\contrast_matching.csv
