Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-03-01 15:36:57,100,255,-0.0,2.2,100.0,0.0
2026-03-01 15:36:57,90,243,-0.0,2.2,100.0,0.0
2026-03-01 15:36:57,80,232,1.0,2.2,100.0,0.0
2026-03-01 15:36:57,70,217,-0.0,2.2,100.0,0.0
2026-03-01 15:36:57,60,204,1.0,2.2,100.0,0.0
2026-03-01 15:36:57,50,186,-0.0,2.2,100.0,0.0
2026-03-01 15:36:57,40,168,-0.0,2.2,100.0,0.0
2026-03-01 15:36:57,30,150,1.0,2.2,100.0,0.0
2026-03-01 15:36:57,20,120,-1.0,2.2,100.0,0.0
2026-03-01 15:36:57,10,90,-0.0,2.2,100.0,0.0
2026-03-01 15:36:57,0,0,-0.0,2.2,100.0,0.0
