Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-03-27 15:23:28,100,255,3.0,2.2,100.0,0.0
2026-03-27 15:23:28,90,244,1.0,2.2,100.0,0.0
2026-03-27 15:23:28,80,232,1.0,2.2,100.0,0.0
2026-03-27 15:23:28,70,218,1.0,2.2,100.0,0.0
2026-03-27 15:23:28,60,202,0.0,2.2,100.0,0.0
2026-03-27 15:23:28,50,186,0.0,2.2,100.0,0.0
2026-03-27 15:23:28,40,170,1.0,2.2,100.0,0.0
2026-03-27 15:23:28,30,148,0.0,2.2,100.0,0.0
2026-03-27 15:23:28,20,125,1.0,2.2,100.0,0.0
2026-03-27 15:23:28,10,90,0.0,2.2,100.0,0.0
2026-03-27 15:23:28,0,0,-0.0,2.2,100.0,0.0
