Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-03-03 15:10:47,100,255,8.0,2.2,100.0,0.0
2026-03-03 15:10:47,90,244,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,80,233,2.0,2.2,100.0,0.0
2026-03-03 15:10:47,70,218,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,60,204,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,50,188,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,40,170,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,30,150,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,20,125,1.0,2.2,100.0,0.0
2026-03-03 15:10:47,10,90,0.0,2.2,100.0,0.0
2026-03-03 15:10:47,0,0,-0.0,2.2,100.0,0.0
