ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
0,Right,checker_45,2,3.2999999999999994
0,Right,noise,4,2.699999999999999
0,Right,stripe,2,2.6000000000000014
0,Right,stripe,4,1.2999999999999976
0,Right,border,2,3.099999999999999
0,Right,checker_45,4,1.1999999999999975
0,Right,border,4,2.799999999999999
0,Right,checker,2,1.2999999999999976
0,Right,checker,4,1.0999999999999974
0,Right,noise,2,2.0999999999999983
0,Left,checker,2,2.899999999999999
0,Left,border,4,2.2999999999999985
0,Left,border,2,3.6999999999999997
0,Left,stripe,4,2.899999999999999
0,Left,checker_45,4,1.699999999999998
0,Left,noise,2,2.0999999999999983
0,Left,stripe,2,3.6999999999999997
0,Left,noise,4,2.0999999999999983
0,Left,checker,4,1.6000000000000005
0,Left,checker_45,2,1.699999999999998
