ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
0,Right,border,2,6.0
0,Right,checker,2,4.000000000000007
0,Right,checker_45,2,3.7999999999999994
0,Right,border,4,4.800000000000004
0,Right,noise,4,2.7999999999999985
0,Right,noise,2,4.199999999999999
0,Right,checker_45,4,1.9999999999999982
0,Right,checker,4,2.1999999999999984
0,Right,stripe,4,2.3999999999999986
0,Right,stripe,2,3.8999999999999995
0,Left,noise,4,2.1999999999999984
0,Left,stripe,2,3.099999999999999
0,Left,checker,2,4.6999999999999975
0,Left,stripe,4,2.799999999999999
0,Left,checker,4,2.399999999999998
0,Left,checker_45,4,2.3999999999999986
0,Left,border,2,4.0
0,Left,checker_45,2,4.299999999999999
0,Left,border,4,2.899999999999999
0,Left,noise,2,4.100000000000002
