ID,0,Age,23,Gender,男性,IPD(mm),66
Trial_ID,Image_Win1,Image_Win2,Score,Distance,Offset_X,Offset_Y
1,pippin_RS_YachtClub023.tif,merry_mtl07_034.tif,38,60,0,0
2,pippin_RVHtexture001.tif,pippin_park0044.tif,0,100,0,0
3,merry_mtl07_003.tif,pippin_Biodome044.tif,0,60,0,0
4,pippin_RVHtexture022.tif,pippin0063.tif,0,100,0,0
5,pippin_park0040.tif,pippin_park0019.tif,0,100,0,0
