ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
0,Right,noise,4,3.0999999999999988
0,Right,checker_45,4,2.300000000000001
0,Right,checker,4,1.4999999999999978
0,Right,stripe,4,2.4999999999999987
0,Right,border,4,4.0
0,Left,checker,4,4.0
0,Left,border,4,4.0
0,Left,checker_45,4,4.0
0,Left,stripe,4,4.0
0,Left,noise,4,4.0
