directory,filename,fg_name,bg_name,visibility_score
2260314_163430,overlap_FG-2cpd_5nit_0.6_h_BG-2cpd_5nit_1.0.png,2cpd_5nit_0.6_h,2cpd_5nit_1.0,0.5039811134338379
2260314_163430,overlap_FG-2cpd_5nit_0.6_h_BG-4cpd_15nit_1.0.png,2cpd_5nit_0.6_h,4cpd_15nit_1.0,0.41223105788230896
2260314_163430,overlap_FG-2cpd_5nit_0.6_h_BG-4cpd_5nit_1.0.png,2cpd_5nit_0.6_h,4cpd_5nit_1.0,0.47237274050712585
2260314_163430,overlap_FG-2cpd_5nit_0.6_v_BG-2cpd_15nit_1.0.png,2cpd_5nit_0.6_v,2cpd_15nit_1.0,0.42792320251464844
2260314_163430,overlap_FG-2cpd_5nit_0.6_v_BG-2cpd_5nit_1.0.png,2cpd_5nit_0.6_v,2cpd_5nit_1.0,0.5062964558601379
2260314_163430,overlap_FG-2cpd_5nit_0.6_v_BG-4cpd_15nit_1.0.png,2cpd_5nit_0.6_v,4cpd_15nit_1.0,0.4125179350376129
2260314_163430,overlap_FG-2cpd_5nit_0.6_v_BG-4cpd_5nit_1.0.png,2cpd_5nit_0.6_v,4cpd_5nit_1.0,0.47195756435394287
2260314_163430,overlap_FG-2cpd_5nit_1.0_h_BG-2cpd_15nit_1.0.png,2cpd_5nit_1.0_h,2cpd_15nit_1.0,0.42918655276298523
2260314_163430,overlap_FG-2cpd_5nit_1.0_h_BG-2cpd_5nit_1.0.png,2cpd_5nit_1.0_h,2cpd_5nit_1.0,0.5082803964614868
2260314_163430,overlap_FG-2cpd_5nit_1.0_h_BG-4cpd_15nit_1.0.png,2cpd_5nit_1.0_h,4cpd_15nit_1.0,0.4154229462146759
2260314_163430,overlap_FG-2cpd_5nit_1.0_h_BG-4cpd_5nit_1.0.png,2cpd_5nit_1.0_h,4cpd_5nit_1.0,0.4770921766757965
2260314_163430,overlap_FG-2cpd_5nit_1.0_v_BG-2cpd_15nit_1.0.png,2cpd_5nit_1.0_v,2cpd_15nit_1.0,0.43107661604881287
2260314_163430,overlap_FG-2cpd_5nit_1.0_v_BG-2cpd_5nit_1.0.png,2cpd_5nit_1.0_v,2cpd_5nit_1.0,0.5108349919319153
2260314_163430,overlap_FG-2cpd_5nit_1.0_v_BG-4cpd_15nit_1.0.png,2cpd_5nit_1.0_v,4cpd_15nit_1.0,0.4152006208896637
2260314_163430,overlap_FG-2cpd_5nit_1.0_v_BG-4cpd_5nit_1.0.png,2cpd_5nit_1.0_v,4cpd_5nit_1.0,0.4757785499095917
2260314_163430,overlap_FG-4cpd_50nit_0.2_h_BG-2cpd_15nit_1.0.png,4cpd_50nit_0.2_h,2cpd_15nit_1.0,0.4542728364467621
2260314_163430,overlap_FG-4cpd_50nit_0.2_h_BG-2cpd_5nit_1.0.png,4cpd_50nit_0.2_h,2cpd_5nit_1.0,0.4715218245983124
2260314_163430,overlap_FG-4cpd_50nit_0.2_h_BG-4cpd_15nit_1.0.png,4cpd_50nit_0.2_h,4cpd_15nit_1.0,0.42306914925575256
2260314_163430,overlap_FG-4cpd_50nit_0.2_h_BG-4cpd_5nit_1.0.png,4cpd_50nit_0.2_h,4cpd_5nit_1.0,0.442527174949646
2260314_163430,overlap_FG-4cpd_50nit_0.2_v_BG-2cpd_15nit_1.0.png,4cpd_50nit_0.2_v,2cpd_15nit_1.0,0.45457831025123596
2260314_163430,overlap_FG-4cpd_50nit_0.2_v_BG-2cpd_5nit_1.0.png,4cpd_50nit_0.2_v,2cpd_5nit_1.0,0.4716852605342865
2260314_163430,overlap_FG-4cpd_50nit_0.2_v_BG-4cpd_15nit_1.0.png,4cpd_50nit_0.2_v,4cpd_15nit_1.0,0.42303791642189026
2260314_163430,overlap_FG-4cpd_50nit_0.2_v_BG-4cpd_5nit_1.0.png,4cpd_50nit_0.2_v,4cpd_5nit_1.0,0.4424261152744293
2260314_163430,overlap_FG-4cpd_50nit_0.6_h_BG-2cpd_15nit_1.0.png,4cpd_50nit_0.6_h,2cpd_15nit_1.0,0.45450976490974426
2260314_163430,overlap_FG-4cpd_50nit_0.6_h_BG-2cpd_5nit_1.0.png,4cpd_50nit_0.6_h,2cpd_5nit_1.0,0.4736468493938446
2260314_163430,overlap_FG-4cpd_50nit_0.6_h_BG-4cpd_15nit_1.0.png,4cpd_50nit_0.6_h,4cpd_15nit_1.0,0.42358434200286865
2260314_163430,overlap_FG-4cpd_50nit_0.6_h_BG-4cpd_5nit_1.0.png,4cpd_50nit_0.6_h,4cpd_5nit_1.0,0.44463759660720825
2260314_163430,overlap_FG-4cpd_50nit_0.6_v_BG-2cpd_15nit_1.0.png,4cpd_50nit_0.6_v,2cpd_15nit_1.0,0.45497190952301025
