ID,Age,Gender,IPD(mm),Distance1(cm),Distance2(cm),Offset_X,Offset_Y,Defocus_D,Trial_ID,Image_Win1,Image_Win2,Score
0,23,Male,60,50,70,-49,-122,0.35,42,10_bg_Tex5_striped_0088.jpg,3_fg_Tex2_lumi_half_pippin0225.tif,3
0,23,Male,60,50,70,-49,-122,0.35,43,10_bg_Tex5_striped_0088.jpg,3_fg_Tex2_lumi_quarter_pippin0225.tif,2
0,23,Male,60,50,70,-49,-122,0.35,44,2_bg_Tex1_gauzy_0194.jpg,1_fg_Tex1_lumi_quarter_grid_0016.jpg,1
0,23,Male,60,50,70,-49,-122,0.35,45,6_bg_Tex3_bubbly_0082.jpg,3_fg_Tex2_lumi_quarter_pippin0225.tif,1
0,23,Male,60,50,70,-49,-122,0.35,46,10_bg_Tex5_striped_0088.jpg,9_fg_Tex5_lumi_quarter_banded_0121.jpg,3
0,23,Male,60,50,70,-49,-122,0.35,47,6_bg_Tex3_bubbly_0082.jpg,1_fg_Tex1_lumi_quarter_grid_0016.jpg,2
0,23,Male,60,50,70,-49,-122,0.35,48,4_bg_Tex2_marbled_0173.jpg,1_fg_Tex1_lumi_quarter_grid_0016.jpg,2
0,23,Male,60,50,70,-49,-122,0.35,49,8_bg_Tex4_perforated_0148.jpg,5_fg_Tex3_lumi_quarter_meshed_0150.jpg,3
0,23,Male,60,50,70,-49,-122,0.35,50,10_bg_Tex5_striped_0088.jpg,1_fg_Tex1_lumi_default_grid_0016.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,51,2_bg_Tex1_gauzy_0194.jpg,5_fg_Tex3_lumi_quarter_meshed_0150.jpg,1
0,23,Male,60,50,70,-49,-122,0.35,52,8_bg_Tex4_perforated_0148.jpg,1_fg_Tex1_lumi_default_grid_0016.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,53,8_bg_Tex4_perforated_0148.jpg,3_fg_Tex2_lumi_half_pippin0225.tif,5
0,23,Male,60,50,70,-49,-122,0.35,54,6_bg_Tex3_bubbly_0082.jpg,9_fg_Tex5_lumi_quarter_banded_0121.jpg,3
0,23,Male,60,50,70,-49,-122,0.35,55,4_bg_Tex2_marbled_0173.jpg,3_fg_Tex2_lumi_half_pippin0225.tif,4
0,23,Male,60,50,70,-49,-122,0.35,56,6_bg_Tex3_bubbly_0082.jpg,9_fg_Tex5_lumi_default_banded_0121.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,57,4_bg_Tex2_marbled_0173.jpg,5_fg_Tex3_lumi_default_meshed_0150.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,58,6_bg_Tex3_bubbly_0082.jpg,5_fg_Tex3_lumi_default_meshed_0150.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,59,10_bg_Tex5_striped_0088.jpg,5_fg_Tex3_lumi_quarter_meshed_0150.jpg,3
0,23,Male,60,50,70,-49,-122,0.35,60,6_bg_Tex3_bubbly_0082.jpg,5_fg_Tex3_lumi_half_meshed_0150.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,61,4_bg_Tex2_marbled_0173.jpg,1_fg_Tex1_lumi_default_grid_0016.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,62,4_bg_Tex2_marbled_0173.jpg,5_fg_Tex3_lumi_half_meshed_0150.jpg,4
0,23,Male,60,50,70,-49,-122,0.35,63,10_bg_Tex5_striped_0088.jpg,3_fg_Tex2_lumi_default_pippin0225.tif,5
0,23,Male,60,50,70,-49,-122,0.35,64,10_bg_Tex5_striped_0088.jpg,5_fg_Tex3_lumi_half_meshed_0150.jpg,3
0,23,Male,60,50,70,-49,-122,0.35,65,10_bg_Tex5_striped_0088.jpg,7_fg_Tex4_lumi_quarter_paisley_0104.jpg,2
0,23,Male,60,50,70,-49,-122,0.35,66,4_bg_Tex2_marbled_0173.jpg,3_fg_Tex2_lumi_default_pippin0225.tif,5
0,23,Male,60,50,70,-49,-122,0.35,67,8_bg_Tex4_perforated_0148.jpg,5_fg_Tex3_lumi_half_meshed_0150.jpg,4
0,23,Male,60,50,70,-49,-122,0.35,68,8_bg_Tex4_perforated_0148.jpg,7_fg_Tex4_lumi_default_paisley_0104.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,69,10_bg_Tex5_striped_0088.jpg,7_fg_Tex4_lumi_half_paisley_0104.jpg,4
0,23,Male,60,50,70,-49,-122,0.35,70,4_bg_Tex2_marbled_0173.jpg,5_fg_Tex3_lumi_quarter_meshed_0150.jpg,2
0,23,Male,60,50,70,-49,-122,0.35,71,6_bg_Tex3_bubbly_0082.jpg,1_fg_Tex1_lumi_half_grid_0016.jpg,4
0,23,Male,60,50,70,-49,-122,0.35,72,10_bg_Tex5_striped_0088.jpg,1_fg_Tex1_lumi_half_grid_0016.jpg,3
0,23,Male,60,50,70,-49,-122,0.35,73,8_bg_Tex4_perforated_0148.jpg,9_fg_Tex5_lumi_quarter_banded_0121.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,74,6_bg_Tex3_bubbly_0082.jpg,1_fg_Tex1_lumi_default_grid_0016.jpg,5
0,23,Male,60,50,70,-49,-122,0.35,75,10_bg_Tex5_striped_0088.jpg,7_fg_Tex4_lumi_default_paisley_0104.jpg,5
