Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-04-18 15:37:57,100,253,-2.0,2.2,100.0,0.0
2026-04-18 15:37:57,90,241,-2.0,2.2,100.0,0.0
2026-04-18 15:37:57,80,226,-3.0,2.2,100.0,0.0
2026-04-18 15:37:57,70,210,-5.0,2.2,100.0,0.0
2026-04-18 15:37:57,60,196,-4.0,2.2,100.0,0.0
2026-04-18 15:37:57,50,181,-3.0,2.2,100.0,0.0
2026-04-18 15:37:57,40,162,-3.0,2.2,100.0,0.0
2026-04-18 15:37:57,30,141,-3.0,2.2,100.0,0.0
2026-04-18 15:37:57,20,117,-2.0,2.2,100.0,0.0
2026-04-18 15:37:57,10,85,-1.0,2.2,100.0,0.0
2026-04-18 15:37:57,0,0,-0.0,2.2,100.0,0.0
