Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-03-12 13:18:33,100,254,-1.0,2.2,100.0,0.0
2026-03-12 13:18:33,90,243,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,80,232,1.0,2.2,100.0,0.0
2026-03-12 13:18:33,70,217,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,60,202,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,50,186,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,40,168,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,30,148,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,20,123,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,10,90,0.0,2.2,100.0,0.0
2026-03-12 13:18:33,0,0,-0.0,2.2,100.0,0.0
