Date,Target_Luminance(cd/m2),Pixel_Value,Final_Offset,Gamma,Max_Lum,Min_Lum
2026-02-24 17:05:04,100,255,-0.0,2.2,100.0,0.0
2026-02-24 17:05:04,90,242,-1.0,2.2,100.0,0.0
2026-02-24 17:05:04,80,230,-0.0,2.2,100.0,0.0
2026-02-24 17:05:04,70,215,-1.0,2.2,100.0,0.0
2026-02-24 17:05:04,60,202,-0.0,2.2,100.0,0.0
2026-02-24 17:05:04,50,186,0.0,2.2,100.0,0.0
2026-02-24 17:05:04,40,168,0.0,2.2,100.0,0.0
2026-02-24 17:05:04,30,145,-1.0,2.2,100.0,0.0
2026-02-24 17:05:04,20,123,-0.0,2.2,100.0,0.0
2026-02-24 17:05:04,10,90,-0.0,2.2,100.0,0.0
2026-02-24 17:05:04,0,0,-0.0,2.2,100.0,0.0
