channel,pixel,Y,x,y
R,255,7.2,0.6280,0.3270
R,224,6,0.6235,0.3248
R,192,4.5,0.6156,0.3232
R,160,3.2,0.6072,0.3225
R,128,2,0.5919,0.3099
R,96,1.2,0.5463,0.3119
R,64,0.6,0.4615,0.2746
R,48,0.4,0.4015,0.2543
R,32,0.3,0.3762,0.2516
R,16,0.2,0.3088,0.2399
R,0,0.2,0.2331,0.2187
G,255,32.6,0.3041,0.6258
G,224,25.8,0.3035,0.6234
G,192,19.1,0.3043,0.6183
G,160,13,0.3036,0.6117
G,128,8.2,0.3012,0.6071
G,96,4.5,0.3073,0.5839
G,64,2,0.2868,0.5214
G,48,1.2,0.2802,0.4818
G,32,0.7,0.2281,0.4211
G,16,0.3,0.2812,0.3302
G,0,0.2,0.2063,0.2379
B,255,3.4,0.1552,0.0452
B,224,2.7,0.1554,0.0463
B,192,2.1,0.1564,0.0472
B,160,1.5,0.1571,0.0489
B,128,1,0.1603,0.0520
B,96,0.6,0.1637,0.0570
B,64,0.4,0.1788,0.0784
B,48,0.3,0.1670,0.1028
B,32,0.3,0.2240,0.1574
B,16,0.3,0.2161,0.1941
B,0,0.2,0.2541,0.2184
W,255,44.2,0.2809,0.2920
W,224,35.2,0.2807,0.2912
W,192,26.4,0.2792,0.2882
W,160,18.2,0.2797,0.2879
W,128,11.5,0.2801,0.2860
W,96,6.3,0.2775,0.2857
W,64,2.8,0.2761,0.2844
W,48,1.6,0.2740,0.2861
W,32,0.8,0.2535,0.2767
W,16,0.4,0.1981,0.2742
W,0,0.2,0.2498,0.2383
