channel,pixel,Y,x,y
R,255,7.8,0.6279,0.3273
R,224,6.2,0.6235,0.3261
R,192,4.6,0.6188,0.3230
R,160,3.2,0.6073,0.3202
R,128,2.1,0.5849,0.3135
R,96,1.2,0.5353,0.3100
R,64,0.6,0.4875,0.2797
R,48,0.5,0.4138,0.2686
R,32,0.3,0.3913,0.2657
R,16,0.3,0.2570,0.2396
R,0,0.2,0.2805,0.2469
G,255,33.4,0.3049,0.6239
G,224,26.2,0.3060,0.6203
G,192,19.4,0.3040,0.6172
G,160,13.1,0.3038,0.6126
G,128,8.3,0.2961,0.6047
G,96,4.5,0.3023,0.5746
G,64,2.0,0.3043,0.5207
G,48,1.2,0.3029,0.4674
G,32,0.6,0.2899,0.3819
G,16,0.4,0.2974,0.2829
G,0,0.2,0.1701,0.2556
B,255,3.5,0.1562,0.0455
B,224,2.8,0.1551,0.0468
B,192,2.2,0.1553,0.0474
B,160,1.6,0.1575,0.0499
B,128,1.1,0.1575,0.0532
B,96,0.7,0.1613,0.0635
B,64,0.4,0.1658,0.0801
B,48,0.4,0.1825,0.1109
B,32,0.3,0.2084,0.1500
B,16,0.2,0.2993,0.1716
B,0,0.2,0.2345,0.2370
W,255,45.3,0.2813,0.2921
W,224,36.0,0.2805,0.2915
W,192,27.0,0.2795,0.2883
W,160,18.6,0.2787,0.2880
W,128,11.8,0.2781,0.2876
W,96,6.4,0.2796,0.2866
W,64,2.8,0.2770,0.2853
W,48,1.6,0.2812,0.2757
W,32,0.8,0.2784,0.2675
W,16,0.4,0.2682,0.2626
W,0,0.2,0.1759,0.2539
