channel,pixel,Y,x,y
R,255,7.5,0.6235,0.3300
R,224,6.0,0.6183,0.3278
R,192,4.4,0.6173,0.3245
R,160,3.0,0.6049,0.3191
R,128,1.9,0.5671,0.3127
R,96,1.2,0.5391,0.3032
R,64,0.6,0.4342,0.2782
R,32,0.3,0.2983,0.2362
R,0,0.2,0.2717,0.2359
G,255,32.6,0.3021,0.6246
G,224,25.5,0.3019,0.6202
G,192,18.8,0.3015,0.6154
G,160,12.6,0.2986,0.6140
G,128,7.9,0.2971,0.5993
G,96,4.3,0.3010,0.5833
G,64,2.0,0.2945,0.5139
G,32,0.6,0.2620,0.3997
G,0,0.2,0.2576,0.2164
B,255,3.5,0.1570,0.0456
B,224,2.8,0.1572,0.0459
B,192,2.1,0.1536,0.0469
B,160,1.6,0.1562,0.0498
B,128,1.0,0.1558,0.0521
B,96,0.7,0.1599,0.0634
B,64,0.4,0.1871,0.0850
B,32,0.3,0.2187,0.1561
B,0,0.2,0.2667,0.1960
