channel,pixel,Y,x,y
R,255,7.8,0.6276,0.3276
R,224,6.2,0.6205,0.3260
R,192,4.6,0.6152,0.3271
R,160,3.2,0.6074,0.3227
R,128,2.1,0.5811,0.3163
R,96,1.2,0.5519,0.3100
R,64,0.7,0.4649,0.2939
R,48,0.5,0.4200,0.2629
R,32,0.3,0.3262,0.2834
R,16,0.3,0.2822,0.2454
R,0,0.3,0.2969,0.2348
G,255,33.4,0.3049,0.6239
G,224,26.2,0.3060,0.6203
G,192,19.4,0.3040,0.6172
G,160,13.1,0.3038,0.6126
G,128,8.3,0.2961,0.6047
G,96,4.5,0.3023,0.5746
G,64,2.0,0.3043,0.5207
G,48,1.2,0.3029,0.4674
G,32,0.6,0.2899,0.3819
G,16,0.4,0.2974,0.2829
G,0,0.2,0.1701,0.2556
B,255,3.5,0.1542,0.0459
B,224,2.8,0.1562,0.0465
B,192,2.2,0.1560,0.0474
B,160,1.6,0.1580,0.0494
B,128,1.1,0.1558,0.0531
B,96,0.7,0.1605,0.0606
B,64,0.4,0.1762,0.0866
B,48,0.3,0.1688,0.1096
B,32,0.3,0.2117,0.1505
B,16,0.2,0.2573,0.1903
B,0,0.2,0.2761,0.2474
W,255,45.3,0.2814,0.2917
W,224,35.9,0.2812,0.2908
W,192,26.9,0.2797,0.2876
W,160,18.4,0.2801,0.2873
W,128,11.6,0.2802,0.2855
W,96,6.3,0.2804,0.2847
W,64,2.8,0.2762,0.2875
W,48,1.6,0.2727,0.2834
W,32,0.8,0.2726,0.2791
W,16,0.4,0.2616,0.2561
W,0,0.3,0.3039,0.2132
