channel,pixel,Y,x,y
R,255,7.6,0.6238,0.3279
R,224,6.1,0.6210,0.3249
R,192,4.5,0.6177,0.3241
R,160,3.2,0.6103,0.3201
R,128,2.1,0.5837,0.3203
R,96,1.2,0.5493,0.3011
R,64,0.7,0.4520,0.2899
R,32,0.4,0.4030,0.2738
R,0,0.2,0.2813,0.2182
G,255,32.6,0.3039,0.6243
G,224,25.7,0.3044,0.6229
G,192,19.1,0.3036,0.6210
G,160,13.0,0.3046,0.6142
G,128,8.2,0.3001,0.6056
G,96,4.5,0.2996,0.5843
G,64,2.0,0.2875,0.5115
G,32,0.6,0.2481,0.4122
G,0,0.2,0.2512,0.2189
B,255,3.4,0.1545,0.0457
B,224,2.8,0.1551,0.0461
B,192,2.2,0.1557,0.0476
B,160,1.6,0.1557,0.0496
B,128,1.1,0.1570,0.0536
B,96,0.7,0.1626,0.0590
B,64,0.4,0.1627,0.0774
B,32,0.3,0.2068,0.1010
B,0,0.2,0.2418,0.1906
