setlum,Y,x,y
0,0.5,0.2580,0.2409
15,14.8,0.2743,0.2826
25,24.8,0.2749,0.2797
30,30.0,0.2754,0.2815
35,35.1,0.2783,0.2853
45,44.9,0.2773,0.2833
60,59.3,0.2787,0.2850
