setlum,Y,x,y
0, 0.5,0.2084,0.2059
10,9.5,0.2976,0.3314
20,20.5,0.2916,0.3133
30,32.0,0.2932,0.3218
40,43.8,0.2925,0.3175
50,54.6,0.2889,0.3105
60,65.7,0.2902,0.3130
