setlum,Y,x,y
0,0.5,0.2640,0.2582
10,10.2,0.2790,0.2903
15,15.5,0.2791,0.2898
25,25.8,0.2767,0.2858
30,31.7,0.2767,0.2876
35,36.3,0.2765,0.2838
45,46.7,0.2750,0.2823
50,51.9,0.2765,0.2835
60,61.8,0.2775,0.2854
