ID,Age,Gender,IPD(mm),Distance1(cm),Distance2(cm),Offset_X,Offset_Y,Trial_ID,Image_Win1,Image_Win2,Score
1,26,Male,60,50,70,-11,-79,1,8cpd_5nit_1.0.png,8cpd_5nit_0.4_v.png,1
1,26,Male,60,50,70,-11,-79,2,2cpd_15nit_1.0.png,8cpd_50nit_0.4_v.png,4
1,26,Male,60,50,70,-11,-79,3,2cpd_15nit_1.0.png,8cpd_5nit_0.4_v.png,1
1,26,Male,60,50,70,-11,-79,4,8cpd_5nit_1.0.png,2cpd_5nit_0.4_v.png,4
1,26,Male,60,50,70,-11,-79,5,2cpd_5nit_1.0.png,2cpd_50nit_0.4_v.png,5
1,26,Male,60,50,70,-11,-79,6,2cpd_5nit_1.0.png,2cpd_50nit_0.4_v.png,4
1,26,Male,60,50,70,-11,-79,7,8cpd_5nit_1.0.png,2cpd_5nit_0.8_v.png,3
1,26,Male,60,50,70,-11,-79,8,8cpd_15nit_1.0.png,2cpd_50nit_0.4_v.png,4
1,26,Male,60,50,70,-11,-79,9,8cpd_5nit_1.0.png,8cpd_5nit_0.8_v.png,1
1,26,Male,60,50,70,-11,-79,10,2cpd_15nit_1.0.png,8cpd_50nit_0.8_v.png,4
1,26,Male,60,50,70,-11,-79,11,8cpd_15nit_1.0.png,8cpd_5nit_0.8_v.png,1
1,26,Male,60,50,70,-11,-79,12,2cpd_15nit_1.0.png,2cpd_50nit_0.8_v.png,5
1,26,Male,60,50,70,-11,-79,13,2cpd_5nit_1.0.png,8cpd_50nit_0.8_v.png,4
1,26,Male,60,50,70,-11,-79,14,8cpd_15nit_1.0.png,2cpd_5nit_0.4_v.png,2
1,26,Male,60,50,70,-11,-79,15,2cpd_5nit_1.0.png,2cpd_5nit_0.4_v.png,1
1,26,Male,60,50,70,-11,-79,16,8cpd_15nit_1.0.png,8cpd_50nit_0.8_v.png,5
1,26,Male,60,50,70,-11,-79,17,2cpd_5nit_1.0.png,2cpd_50nit_0.8_v.png,4
1,26,Male,60,50,70,-11,-79,18,8cpd_5nit_1.0.png,8cpd_5nit_0.8_v.png,1
1,26,Male,60,50,70,-11,-79,19,2cpd_15nit_1.0.png,8cpd_50nit_0.8_v.png,4
1,26,Male,60,50,70,-11,-79,20,8cpd_15nit_1.0.png,8cpd_50nit_0.8_v.png,4
1,26,Male,60,50,70,-11,-79,21,8cpd_15nit_1.0.png,2cpd_5nit_0.4_v.png,2
1,26,Male,60,50,70,-11,-79,22,2cpd_15nit_1.0.png,2cpd_50nit_0.8_v.png,4
1,26,Male,60,50,70,-11,-79,23,2cpd_15nit_1.0.png,2cpd_5nit_0.8_v.png,1
