name,sR,sG,sB,Y,x,y
R,1.0,0.0,0.0,7.6,0.6238,0.3279
G,0.0,1.0,0.0,32.6,0.3039,0.6243
B,0.0,0.0,1.0,3.4,0.1545,0.0457
W,1.0,1.0,1.0,44.2,0.2804,0.2910
semiR,0.5,0.0,0.0,2.1,0.5837,0.3203
semiG,0.0,0.5,0.0,8.2,0.3001,0.6056
semiB,0.0,0.0,0.5,1.1,0.1570,0.0536
Gray,0.5,0.5,0.5,11.5,0.2768,0.2854
