name,sR,sG,sB,Y,x,y
R,1.0,0.0,0.0,8.00,0.6327,0.3286
G,0.0,1.0,0.0,34.36,0.3097,0.6264
B,0.0,0.0,1.0,3.60,0.1543,0.0457
W,1.0,1.0,1.0,46.7,0.2803,0.2921
semiR,0.5,0.0,0.0,2.1,0.5723,0.3091
semiG,0.0,0.5,0.0,8.3,0.3003,0.6163
semiB,0.0,0.0,0.5,1.1,0.1541,0.0521
Gray,0.5,0.5,0.5,12.0,0.2795,0.2852
