Distance1(cm),Distance2(cm),Image_Win1,Image_Win2,Score
50,100,FG_2_50_0.5_BG_2_15_0.5.png,FG_2_50_0.5_BG_2_15_0.5.png,0.39925825595855713
50,100,FG_2_50_0.5_BG_2_15_1.0.png,FG_2_50_0.5_BG_2_15_1.0.png,0.37318459153175354
50,100,FG_2_50_0.5_BG_2_5_0.5.png,FG_2_50_0.5_BG_2_5_0.5.png,0.438071072101593
50,100,FG_2_50_0.5_BG_2_5_1.0.png,FG_2_50_0.5_BG_2_5_1.0.png,0.4301508069038391
50,100,FG_2_50_0.5_BG_4_15_0.5.png,FG_2_50_0.5_BG_4_15_0.5.png,0.38899385929107666
50,100,FG_2_50_0.5_BG_4_15_1.0.png,FG_2_50_0.5_BG_4_15_1.0.png,0.3744056820869446
50,100,FG_2_50_0.5_BG_4_5_0.5.png,FG_2_50_0.5_BG_4_5_0.5.png,0.42465636134147644
50,100,FG_2_50_0.5_BG_4_5_1.0.png,FG_2_50_0.5_BG_4_5_1.0.png,0.42143088579177856
50,100,FG_2_50_1.0_BG_2_15_0.5.png,FG_2_50_1.0_BG_2_15_0.5.png,0.401325523853302
50,100,FG_2_50_1.0_BG_2_15_1.0.png,FG_2_50_1.0_BG_2_15_1.0.png,0.3825967311859131
50,100,FG_2_50_1.0_BG_2_5_0.5.png,FG_2_50_1.0_BG_2_5_0.5.png,0.4514840841293335
50,100,FG_2_50_1.0_BG_2_5_1.0.png,FG_2_50_1.0_BG_2_5_1.0.png,0.4439448118209839
50,100,FG_2_50_1.0_BG_4_15_0.5.png,FG_2_50_1.0_BG_4_15_0.5.png,0.39251625537872314
50,100,FG_2_50_1.0_BG_4_15_1.0.png,FG_2_50_1.0_BG_4_15_1.0.png,0.3822064995765686
50,100,FG_2_50_1.0_BG_4_5_0.5.png,FG_2_50_1.0_BG_4_5_0.5.png,0.4355391561985016
50,100,FG_2_50_1.0_BG_4_5_1.0.png,FG_2_50_1.0_BG_4_5_1.0.png,0.4331989288330078
50,100,FG_2_5_0.5_BG_2_15_0.5.png,FG_2_5_0.5_BG_2_15_0.5.png,0.26357704401016235
50,100,FG_2_5_0.5_BG_2_15_1.0.png,FG_2_5_0.5_BG_2_15_1.0.png,0.25672611594200134
50,100,FG_2_5_0.5_BG_2_5_0.5.png,FG_2_5_0.5_BG_2_5_0.5.png,0.31848013401031494
