setlum,Y,x,y
0,0.2,0.2523,0.2178
10,10.0,0.2791,0.2915
15,15.1,0.2767,0.2886
25,25.9,0.2766,0.2895
30,31.4,0.2774,0.2900
35,36.5,0.2767,0.2895
45,46.5,0.2772,0.2872
50,51.7,0.2779,0.2888
60,61.9,0.2786,0.2907
