channel,pixel,Y,x,y
R,255,19.8,0.6450,0.3307
R,224,15.6,0.6433,0.3306
R,192,11.5,0.6404,0.3286
R,160,7.9,0.6340,0.3260
R,128,4.9,0.6229,0.3240
R,96,2.7,0.5990,0.3201
R,64,1.3,0.5601,0.3065
R,48,0.8,0.5311,0.3021
R,32,0.5,0.4473,0.2671
R,16,0.3,0.2870,0.2456
R,0,0.2,0.2061,0.2198
G,255,33.3,0.3058,0.6229
G,224,26.3,0.3053,0.6236
G,192,19.5,0.3039,0.6216
G,160,13.3,0.3020,0.6146
G,128,8.4,0.2989,0.6068
G,96,4.6,0.3002,0.5856
G,64,2.0,0.2922,0.5454
G,48,1.2,0.2853,0.4862
G,32,0.6,0.2683,0.4006
G,16,0.4,0.2165,0.2777
G,0,0.2,0.2057,0.2328
B,255,6.9,0.1531,0.0524
B,224,5.5,0.1535,0.0531
B,192,4.2,0.1528,0.0536
B,160,2.8,0.1540,0.0538
B,128,1.9,0.1562,0.0561
B,96,1.1,0.1563,0.0618
B,64,0.6,0.1611,0.0735
B,48,0.4,0.1736,0.0866
B,32,0.3,0.1666,0.1304
B,16,0.2,0.2479,0.1574
B,0,0.2,0.2765,0.2352
W,255,100.0,0.3137,0.3209
W,224,79.0,0.3139,0.3210
W,192,58.3,0.3123,0.3182
W,160,40.1,0.3123,0.3176
W,128,25.1,0.3111,0.3158
W,96,13.4,0.3113,0.3148
W,64,5.7,0.3092,0.3156
W,48,3.2,0.3040,0.3135
W,32,1.5,0.3114,0.3113
W,16,0.6,0.2511,0.2862
W,0,0.3,0.2611,0.2425
