channel,pixel,Y,x,y
R,255,19.8,0.6442,0.3311
R,224,15.6,0.6427,0.3316
R,192,11.5,0.6379,0.3309
R,160,7.9,0.6331,0.3288
R,128,5.0,0.6254,0.3266
R,96,2.8,0.6066,0.3191
R,64,1.3,0.5649,0.3216
R,48,0.8,0.5022,0.3058
R,32,0.5,0.4257,0.2770
R,16,0.3,0.3396,0.2174
R,0,0.3,0.3295,0.2363
G,255,71.0,0.3198,0.6213
G,224,55.6,0.3194,0.6198
G,192,40.5,0.3191,0.6195
G,160,27.6,0.3191,0.6149
G,128,17.1,0.3182,0.6093
G,96,9.2,0.3175,0.5970
G,64,3.9,0.3155,0.5684
G,48,2.3,0.3027,0.5202
G,32,1.1,0.2946,0.4919
G,16,0.5,0.2562,0.3755
G,0,0.3,0.1670,0.2901
B,255,7.0,0.1518,0.0530
B,224,5.5,0.1522,0.0535
B,192,4.2,0.1531,0.0541
B,160,2.9,0.1539,0.0556
B,128,1.9,0.1545,0.0571
B,96,1.1,0.1602,0.0624
B,64,0.6,0.1704,0.0752
B,48,0.5,0.1704,0.0953
B,32,0.3,0.1943,0.1346
B,16,0.3,0.2426,0.1717
B,0,0.2,0.2462,0.2399
W,255,99.9,0.3121,0.3212
W,224,79.0,0.3126,0.3211
W,192,58.3,0.3111,0.3184
W,160,40.1,0.3107,0.3179
W,128,25.1,0.3094,0.3165
W,96,13.5,0.3109,0.3147
W,64,5.7,0.3070,0.3156
W,48,3.1,0.3061,0.3108
W,32,1.5,0.3046,0.3119
W,16,0.7,0.3197,0.2843
W,0,0.2,0.3021,0.2277
