channel,pixel,Y,x,y
R,255,20.2,0.6448,0.3312
R,224,15.9,0.6433,0.3320
R,192,11.7,0.6396,0.3308
R,160,8,0.6359,0.3305
R,128,5.1,0.6223,0.3263
R,96,2.8,0.5989,0.3197
R,64,1.3,0.5584,0.3084
R,48,0.8,0.5164,0.2911
R,32,0.5,0.4352,0.2788
R,16,0.3,0.3527,0.2448
R,0,0.2,0.2604,0.2353
G,255,72.3,0.3199,0.6228
G,224,56.7,0.3201,0.6221
G,192,41.3,0.3195,0.6201
G,160,28.2,0.3191,0.6182
G,128,17.5,0.3172,0.6149
G,96,9.3,0.3147,0.6047
G,64,4,0.3090,0.5688
G,48,2.3,0.2902,0.5447
G,32,1.1,0.2914,0.4630
G,16,0.5,0.2594,0.3633
G,0,0.2,0.2718,0.1943
B,255,6.8,0.1532,0.0519
B,224,5.5,0.1535,0.0528
B,192,4.1,0.1534,0.0534
B,160,2.9,0.1533,0.0546
B,128,1.9,0.1538,0.0567
B,96,1.1,0.1595,0.0610
B,64,0.6,0.1651,0.0728
B,48,0.4,0.1673,0.0899
B,32,0.3,0.1831,0.1291
B,16,0.2,0.2666,0.1587
B,0,0.2,0.2349,0.2314
W,255,102.4,0.3131,0.3236
W,224,81,0.3128,0.3236
W,192,59.8,0.3112,0.3202
W,160,41.2,0.3115,0.3207
W,128,25.8,0.3098,0.3179
W,96,13.9,0.3094,0.3178
W,64,5.9,0.3055,0.3203
W,48,3.3,0.3108,0.3148
W,32,1.5,0.3039,0.3187
W,16,0.6,0.2795,0.2770
W,0,0.2,0.2077,0.2475
