ID,Age,Gender,IPD(mm),Distance1(cm),Distance2(cm),Offset_X,Offset_Y,Trial_ID,Image_Win1,Image_Win2,Score
0,23,Male,60,50,70,-62,-221,78,4cpd_15nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,79,8cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,70,-62,-221,80,4cpd_15nit_1.0.png,2cpd_5nit_1.0_v.png,1
0,23,Male,60,50,70,-62,-221,81,8cpd_5nit_1.0.png,4cpd_5nit_0.6_v.png,2
0,23,Male,60,50,70,-62,-221,82,16cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,2
0,23,Male,60,50,70,-62,-221,83,8cpd_15nit_1.0.png,4cpd_50nit_0.6_v.png,4
0,23,Male,60,50,70,-62,-221,84,8cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,3
0,23,Male,60,50,70,-62,-221,85,2cpd_5nit_1.0.png,2cpd_5nit_1.0_v.png,1
0,23,Male,60,50,70,-62,-221,86,8cpd_15nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,70,-62,-221,87,4cpd_15nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,88,16cpd_5nit_1.0.png,4cpd_5nit_0.6_v.png,1
0,23,Male,60,50,70,-62,-221,89,8cpd_15nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,90,2cpd_5nit_1.0.png,4cpd_50nit_0.6_v.png,5
0,23,Male,60,50,70,-62,-221,91,16cpd_15nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,70,-62,-221,92,8cpd_5nit_1.0.png,2cpd_5nit_1.0_v.png,3
0,23,Male,60,50,70,-62,-221,93,8cpd_5nit_1.0.png,4cpd_50nit_0.6_v.png,5
0,23,Male,60,50,70,-62,-221,94,16cpd_5nit_1.0.png,4cpd_5nit_1.0_v.png,3
0,23,Male,60,50,70,-62,-221,95,8cpd_15nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,96,4cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,70,-62,-221,97,8cpd_15nit_1.0.png,4cpd_5nit_1.0_v.png,2
0,23,Male,60,50,70,-62,-221,98,4cpd_15nit_1.0.png,2cpd_50nit_1.0_v.png,4
0,23,Male,60,50,70,-62,-221,99,4cpd_5nit_1.0.png,4cpd_5nit_1.0_v.png,1
0,23,Male,60,50,70,-62,-221,100,16cpd_5nit_1.0.png,4cpd_50nit_1.0_v.png,5
0,23,Male,60,50,70,-62,-221,101,2cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,3
0,23,Male,60,50,70,-62,-221,102,4cpd_5nit_1.0.png,4cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,103,8cpd_5nit_1.0.png,2cpd_50nit_0.2_v.png,4
0,23,Male,60,50,70,-62,-221,104,4cpd_5nit_1.0.png,2cpd_50nit_0.6_v.png,5
0,23,Male,60,50,70,-62,-221,105,8cpd_15nit_1.0.png,2cpd_5nit_0.6_v.png,2
0,23,Male,60,50,70,-62,-221,106,2cpd_5nit_1.0.png,2cpd_5nit_0.2_v.png,1
0,23,Male,60,50,70,-62,-221,107,8cpd_5nit_1.0.png,2cpd_50nit_0.6_v.png,1
0,23,Male,60,50,70,-62,-221,108,2cpd_15nit_1.0.png,2cpd_50nit_1.0_v.png,4
0,23,Male,60,50,70,-62,-221,109,2cpd_15nit_1.0.png,4cpd_50nit_0.2_v.png,3
0,23,Male,60,50,70,-62,-221,110,4cpd_5nit_1.0.png,4cpd_50nit_0.2_v.png,3
