Hypothesis,Session_Type,Ref_Contrast,Orientation,Ocularity,n_participants,Analysis_Scale,Participant_Aggregation,mean_sp_log10_offset_from_reference,mean_dpf_log10_offset_from_reference,geometric_mean_sp_ratio_to_reference,geometric_mean_dpf_ratio_to_reference,pearson_r,p_value_two_sided,holm_adjusted_p_value,significant_holm_alpha_0_05
H3,experiment,0.1,0,binocular,5,log10_AR_Matched_Contrast,median_of_log10_trials,0.4437906459620867,0.10249925668518363,2.7783736146461844,1.2661911003652633,0.4555366625329124,0.4407286019908321,0.4407286019908321,False
H3,experiment,0.1,0,monocular,5,log10_AR_Matched_Contrast,median_of_log10_trials,0.449922708808112,0.15125221282727958,2.817881389563885,1.416616228947399,0.7901534012192909,0.11169166153393975,0.2233833230678795,False
H3,experiment,0.2,0,binocular,5,log10_AR_Matched_Contrast,median_of_log10_trials,0.1945863125530795,0.03942065296028232,1.5652593710892027,1.0950164739543227,0.2395317215566954,0.6979607745144798,0.6979607745144798,False
H3,experiment,0.2,0,monocular,5,log10_AR_Matched_Contrast,median_of_log10_trials,0.2090112800970437,0.08046919382374043,1.6181220652018908,1.203564013343377,0.9348598482971879,0.019761385530054573,0.039522771060109145,True
