channel,pixel,Y,x,y
R,255,7.6,0.6187,0.3262
R,224,6.1,0.6172,0.3239
R,192,4.5,0.6105,0.3232
R,160,3.1,0.5975,0.3180
R,128,2.0,0.5798,0.3197
R,96,1.2,0.5276,0.3086
R,64,0.7,0.5133,0.3018
R,48,0.4,0.4057,0.2738
R,32,0.3,0.3010,0.2427
R,16,0.3,0.3101,0.2200
R,0,0.2,0.2329,0.2222
G,255,33.0,0.3163,0.6110
G,224,26.2,0.3156,0.6105
G,192,19.4,0.3150,0.6053
G,160,13.0,0.3149,0.6018
G,128,8.3,0.3126,0.5924
G,96,4.5,0.3059,0.5814
G,64,2.0,0.2860,0.5355
G,48,1.2,0.2922,0.4867
G,32,0.6,0.2621,0.3858
G,16,0.4,0.2658,0.3046
G,0,0.2,0.2225,0.2554
B,255,4.6,0.1584,0.0561
B,224,3.6,0.1570,0.0570
B,192,2.8,0.1580,0.0574
B,160,2.1,0.1601,0.0595
B,128,1.4,0.1595,0.0618
B,96,0.8,0.1663,0.0686
B,64,0.4,0.1726,0.0860
B,48,0.3,0.1992,0.1123
B,32,0.3,0.1717,0.1124
B,16,0.2,0.2100,0.1676
B,0,0.2,0.2400,0.2169
W,255,45.1,0.2777,0.2852
W,224,35.9,0.2781,0.2862
W,192,26.9,0.2752,0.2808
W,160,18.4,0.2737,0.2752
W,128,11.6,0.2719,0.2754
W,96,6.3,0.2724,0.2815
W,64,2.6,0.2798,0.2856
W,48,1.5,0.2968,0.3037
W,32,0.8,0.2422,0.2193
W,16,0.4,0.2390,0.2288
W,0,0.2,0.2039,0.2749
