setlum,Y,x,y
0,0.3,0.2673,0.2553
15,14.8,0.2670,0.2692
25,24.9,0.2727,0.2742
30,29.7,0.2739,0.2767
35,34.9,0.2743,0.2778
45,43.9,0.2743,0.2783
60,58.3,0.2770,0.2832
