setlum,Y,x,y
0,0.2,0.3082,0.2354
10,10.4,0.2711,0.2740
15,15.5,0.2706,0.2740
25,25.5,0.2737,0.2795
30,30.4,0.2741,0.2803
35,35.6,0.2755,0.2822
40,40.2,0.2749,0.2822
50,50.0,0.2766,0.2848
60,59.9,0.2781,0.2878
