Pilot_ID,Hypothesis,Component,Family,Session_Type,Ref_Contrast,Orientation,Ocularity,Comparison,Condition,Baseline_Condition,Current_Primary_Test,Sample_Size_Target_Test,Difference_Definition,Analysis_Scale,Trial_Pairing_Method,Pilot_Trial_Count,Pilot_Mean_Log10_Difference,Pilot_SD_Log10_Difference,Pilot_SEM_Log10_Difference,Pilot_Mean_CI_Level,Pilot_Mean_CI_Log10_Lower,Pilot_Mean_CI_Log10_Upper,Pilot_Geometric_Mean_Ratio,Pilot_Mean_CI_Ratio_Lower,Pilot_Mean_CI_Ratio_Upper,Pilot_Trial_T_Statistic,Pilot_Trial_Degrees_Of_Freedom,Pilot_Trial_P_Value_Two_Sided,Pilot_Trial_Cohens_Dz,Assumed_True_Participant_Cohens_Dz,Required_Participants_For_Target_Power,Effect_Estimate_Status,Power_Method,Power_Alpha,Target_Power,Maximum_Participants_Searched,Multiple_Comparison_Adjustment_In_Power,TOST_Sample_Size_Included,Effect_Assumption
0,H3,H3_binocular_Single plane + defocus simulation,H3_SP_vs_SPD_DP,experiment,0.1,0.0,binocular,Single plane + defocus simulation vs Single plane,Single plane + defocus simulation,Single plane,t,two_sided_t_component,log10(Single plane + defocus simulation_trial) - log10(Single plane_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,-0.23080037103802872,0.11423516899195166,0.051087520657436006,0.95,-0.37264206770405806,-0.08895867437199936,0.587759461530068,0.42399226361069176,0.8147818115269121,-4.517744609014114,4,0.010676692134921463,-2.0203968101477536,-2.0203968101477536,5,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H3,H3_binocular_Dual plane,H3_SP_vs_SPD_DP,experiment,0.1,0.0,binocular,Dual plane vs Single plane,Dual plane,Single plane,t,two_sided_t_component,log10(Dual plane_trial) - log10(Single plane_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,-0.2714418227222314,0.1042452443197047,0.0466198905259867,0.95,-0.40087938957796415,-0.14200425586649862,0.5352518503073187,0.39730187114072735,0.7211004127285616,-5.822446592209932,4,0.004333214463622392,-2.6038772751086814,-2.6038772751086814,4,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H4,H4-1,H4_SPD_DP_ocularity,experiment,0.1,0.0,binocular_minus_monocular,(DP/SPD)_binocular vs (DP/SPD)_monocular,binocular log10(DP/SPD),monocular log10(DP/SPD),t,two_sided_t_component,[log10(DP)-log10(SPD)]_binocular - [log10(DP)-log10(SPD)]_monocular,log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,0.036200153475197804,0.019099895194758423,0.008541732803720283,0.95,0.012484501242401198,0.05991580570799441,1.086926440434772,1.0291637985563027,1.1479310568186223,4.238033933750669,4,0.013284410220219678,1.895306393363467,1.895306393363467,5,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H4,H4-2,H4_SPD_DP_ocularity,experiment,0.1,0.0,monocular,Dual plane vs Single plane + defocus simulation,Dual plane,Single plane + defocus simulation,TOST,two_sided_t_component,log10(DP_trial) - log10(SPD_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,-0.07684160515940044,0.00846919398391835,0.003787538692534738,0.95,-0.08735749842303576,-0.06632571189576512,0.8378347995059566,0.817791329257238,0.8583695206217837,-20.288005324105526,4,3.484915115554631e-05,-9.073071806515522,-9.073071806515522,3,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H4,H4-3,H4_SPD_DP_ocularity,experiment,0.1,0.0,binocular,Dual plane vs Single plane + defocus simulation,Dual plane,Single plane + defocus simulation,t,two_sided_t_component,log10(DP_trial) - log10(SPD_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,-0.040641451684202634,0.017613827797185438,0.007877143259696403,0.95,-0.0625119075305285,-0.018770995837876767,0.9106647962993905,0.865940580587161,0.9576989343272109,-5.1594150752780665,4,0.006700727813780456,-2.3073605664917904,-2.3073605664917904,4,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H1,H1_monocular,H1_DPF_vs_reference,experiment,0.2,0.0,monocular,Dual plane flat vs Reference contrast,Dual plane flat,Reference contrast,dual_inference,two_sided_t_component,log10(DPF_trial) - log10(Ref),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,0.030573665992322918,0.04772661396203217,0.0213439906309989,0.95,-0.028686752320501538,0.08983408430514737,1.0729356261196088,0.9360806064038992,1.2297988548434495,1.4324250099660052,4,0.2252959979350369,0.6405999389909602,0.6405999389909602,22,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H1,H1_binocular,H1_DPF_vs_reference,experiment,0.2,0.0,binocular,Dual plane flat vs Reference contrast,Dual plane flat,Reference contrast,dual_inference,two_sided_t_component,log10(DPF_trial) - log10(Ref),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,0.04418120367441329,0.029794773208330575,0.013324627653603333,0.95,0.0071861064469831565,0.08117630090184343,1.107085604569665,1.016684275109938,1.205525221399581,3.31575521830552,4,0.02949527686519309,1.4828508129761595,1.4828508129761595,6,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H2,H2_monocular_Single plane,H2_corrected_conditions_vs_reference,experiment,0.2,0.0,monocular,DPF-corrected Single plane vs Reference contrast,Single plane,Dual plane flat,t,two_sided_t_component,log10(Single plane_trial) - log10(DPF_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,0.11618812655477455,0.05360359113507514,0.023972254723226623,0.95,0.049630477267917306,0.1827457758416318,1.3067368144063152,1.1210641824786232,1.5231608759004525,4.846775069605794,4,0.008358925233360867,2.167543705457966,2.167543705457966,4,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H2,H2_monocular_Single plane + defocus simulation,H2_corrected_conditions_vs_reference,experiment,0.2,0.0,monocular,DPF-corrected Single plane + defocus simulation vs Reference contrast,Single plane + defocus simulation,Dual plane flat,t,two_sided_t_component,log10(Single plane + defocus simulation_trial) - log10(DPF_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,0.03965860409584365,0.06985017610668857,0.031237948402977448,0.95,-0.04707184484402431,0.12638905303571163,1.095616600868701,0.8972803461513473,1.337793412335162,1.2695649401886966,4,0.273075512017872,0.567766701622476,0.567766701622476,27,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
0,H2,H2_monocular_Dual plane,H2_corrected_conditions_vs_reference,experiment,0.2,0.0,monocular,DPF-corrected Dual plane vs Reference contrast,Dual plane,Dual plane flat,t,two_sided_t_component,log10(Dual plane_trial) - log10(DPF_trial),log10_AR_Matched_Contrast,within_cell_order_by_trial_id_or_source_row,5,0.003989953146087433,0.08141977212384843,0.0364120290362935,0.95,-0.09710604664204958,0.10508595293422446,1.0092295385568684,0.7996389741881031,1.2737551499786104,0.1095778854320496,4,0.9180215237645469,0.049004720131349364,0.049004720131349364,3271,ok,two_sided_one_sample_noncentral_t,0.05,0.8,10000,none,False,single_participant_trial_effect_assumed_as_true_participant_effect
