Session_Type,Ref_Contrast,Orientation,X_Variable,Y_Variable,n_total_participants,n_complete_participants,n_excluded_participants,pearson_r,pearson_p_value_two_sided,pearson_ci95_lower,pearson_ci95_upper,holm_adjusted_pearson_p_value,significant_holm_alpha_0_05,spearman_rho,spearman_p_value_two_sided,Correlation_Status
experiment,0.1,0.0,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,14,14,0,-0.4500000717594414,0.10641179579913575,-0.79158104052729,0.10585297270259048,0.2128235915982715,False,-0.3450549450549451,0.2269486800417004,ok
experiment,0.2,0.0,Defocus_Dom_Minus_NonDom_mm,DP_Monocular_Minus_Binocular_Log10,14,14,0,0.18915568901922103,0.5172067916412258,-0.379512496530466,0.6540893865838402,0.5172067916412258,False,0.2043956043956044,0.4833462230422238,ok
