ID,Eye,Pattern,Spatial_Freq(cpd),Matched_PD(mm)
0,Right,noise,4,3.0000000000000018
0,Right,stripe,2,3.7999999999999994
0,Right,noise,2,3.199999999999999
0,Right,border,4,3.299999999999999
0,Right,checker_45,2,3.1999999999999993
0,Right,checker,4,1.9999999999999982
0,Right,border,2,3.599999999999999
0,Right,checker_45,4,1.799999999999998
0,Right,stripe,4,1.799999999999998
0,Right,checker,2,2.1999999999999984
0,Left,checker,2,2.299999999999998
0,Left,stripe,4,2.1999999999999984
0,Left,noise,2,2.4999999999999987
0,Left,checker_45,2,1.9999999999999982
0,Left,checker_45,4,1.5999999999999979
0,Left,border,4,1.4999999999999978
0,Left,stripe,2,2.3999999999999986
0,Left,checker,4,1.5999999999999979
0,Left,noise,4,1.9999999999999982
0,Left,border,2,1.8999999999999981
